SpeciesCode,ScientificName,CommonName,Tree Type,SppValueAssignment,Species Rating (%),Basic Price ($/sq in),Palm Trunk Cost($/ft),Replacement Cost ($),TAr (sq Inches),region
GYDI,Gymnocladus dioicus,Kentucky coffeetree,BDL,BDL OTHER,60,66,0,530,7.0650048828125,PiedmtCLT
HA4,Hakea  species,Hakea,BES,BES OTHER,90,66,0,530,7.0650048828125,PiedmtCLT
HACA,Halesia carolina,Snowdrop tree,BDM,BDM OTHER,77,66,0,530,7.0650048828125,PiedmtCLT
HAVI,Hamamelis virginiana,Witch hazel,BDS,BDS OTHER,70,66,0,530,7.0650048828125,PiedmtCLT
HISY,Hibiscus syriacus,Rose-of-sharon,BDS,BDS OTHER,90,66,0,530,7.0650048828125,PiedmtCLT
ILAQ,Ilex aquifolium,English holly,BES,BES OTHER,90,66,0,530,7.0650048828125,PiedmtCLT
ILCA,Ilex cassine,Dahoon,BES,BES OTHER,90,66,0,530,7.0650048828125,PiedmtCLT
ILCO2,Ilex cornuta,Chinese Holly,BES,BES OTHER,90,66,0,530,7.0650048828125,PiedmtCLT
ILOP,Ilex opaca,American holly,BES,ILOP,90,66,0,530,7.0650048828125,PiedmtCLT
ILSP,Ilex spp,Holly,BES,BES OTHER,90,66,0,530,7.0650048828125,PiedmtCLT
JU,Juniperus spp,Juniper,CEM,CEM OTHER,70,66,0,530,7.0650048828125,PiedmtCLT
JUNI,Juglans nigra,Black walnut,BDL,BDL OTHER,65,66,0,530,7.0650048828125,PiedmtCLT
JURE,Juglans regia,English walnut,BDM,BDM OTHER,65,66,0,530,7.0650048828125,PiedmtCLT
JUVI,Juniperus virginiana,Eastern red cedar,CEM,JUVI,70,66,0,530,7.0650048828125,PiedmtCLT
KOPA,Koelreuteria paniculata,Goldenrain tree,BDS,BDS OTHER,70,66,0,530,7.0650048828125,PiedmtCLT
LA6,Lagerstroemia spp,Common crapemyrtle,BDS,LA6,90,66,0,530,7.0650048828125,PiedmtCLT
LADE,Larix decidua,European larch,BDL,BDL OTHER,90,66,0,530,7.0650048828125,PiedmtCLT
